"myVNA data file"
 Freq. (Hz), Rho (real), Rho(imag)
4970000.00, -9.09548661e-001, +3.84592201e-001
4970037.50, -9.09366140e-001, +3.84725083e-001
4970075.00, -9.09413306e-001, +3.85085987e-001
4970112.50, -9.09286159e-001, +3.85070359e-001
4970150.00, -9.09258106e-001, +3.85058442e-001
4970187.50, -9.09233523e-001, +3.85258418e-001
4970225.00, -9.09099869e-001, +3.85361226e-001
4970262.50, -9.09155585e-001, +3.85469107e-001
4970300.00, -9.08998724e-001, +3.85504685e-001
4970337.50, -9.08967766e-001, +3.85602922e-001
4970375.00, -9.08995697e-001, +3.85661007e-001
4970412.50, -9.08821648e-001, +3.85560328e-001
4970450.00, -9.08792697e-001, +3.85807407e-001
4970487.50, -9.08683485e-001, +3.85922208e-001
4970525.00, -9.08523657e-001, +3.86115876e-001
4970562.50, -9.08659415e-001, +3.86145659e-001
4970600.00, -9.08480265e-001, +3.86272951e-001
4970637.50, -9.08392805e-001, +3.86174274e-001
4970675.00, -9.08294538e-001, +3.86284089e-001
4970712.50, -9.08154686e-001, +3.86535869e-001
4970750.00, -9.08021067e-001, +3.86655663e-001
4970787.50, -9.08046719e-001, +3.86642314e-001
4970825.00, -9.07796394e-001, +3.86711266e-001
4970862.50, -9.07969432e-001, +3.86659750e-001
4970900.00, -9.07797327e-001, +3.86722146e-001
4970937.50, -9.07604940e-001, +3.86844388e-001
4970975.00, -9.07551035e-001, +3.86981195e-001
4971012.50, -9.07648651e-001, +3.87131243e-001
4971050.00, -9.07566593e-001, +3.87140255e-001
4971087.50, -9.07474259e-001, +3.87234164e-001
4971125.00, -9.07460427e-001, +3.87270430e-001
4971162.50, -9.07413688e-001, +3.87555383e-001
4971200.00, -9.07302541e-001, +3.87463406e-001
4971237.50, -9.07416514e-001, +3.87502538e-001
4971275.00, -9.07341185e-001, +3.87787408e-001
4971312.50, -9.07190316e-001, +3.87753329e-001
4971350.00, -9.07309212e-001, +3.88044757e-001
4971387.50, -9.07145758e-001, +3.88032507e-001
4971425.00, -9.07138244e-001, +3.88157752e-001
4971462.50, -9.06971201e-001, +3.88459157e-001
4971500.00, -9.07002764e-001, +3.88498876e-001
4971537.50, -9.06873681e-001, +3.88765208e-001
4971575.00, -9.06919905e-001, +3.88665392e-001
4971612.50, -9.06892624e-001, +3.88916836e-001
4971650.00, -9.06902509e-001, +3.88869778e-001
4971687.50, -9.06661397e-001, +3.89160139e-001
4971725.00, -9.06515242e-001, +3.89251422e-001
4971762.50, -9.06533971e-001, +3.89324763e-001
4971800.00, -9.06365865e-001, +3.89441209e-001
4971837.50, -9.06424284e-001, +3.89715679e-001
4971875.00, -9.06384889e-001, +3.89818271e-001
4971912.50, -9.06303934e-001, +3.90026583e-001
4971950.00, -9.06174326e-001, +3.90197948e-001
4971987.50, -9.06017148e-001, +3.90314457e-001
4972025.00, -9.06107870e-001, +3.90518418e-001
4972062.50, -9.06009746e-001, +3.90578789e-001
4972100.00, -9.05740921e-001, +3.90854730e-001
4972137.50, -9.05749581e-001, +3.90952468e-001
4972175.00, -9.05640866e-001, +3.91130558e-001
4972212.50, -9.05428203e-001, +3.91493225e-001
4972250.00, -9.05518812e-001, +3.91478657e-001
4972287.50, -9.05468061e-001, +3.91676297e-001
4972325.00, -9.05299812e-001, +3.92088016e-001
4972362.50, -9.05045886e-001, +3.91986437e-001
4972400.00, -9.05006556e-001, +3.92291784e-001
4972437.50, -9.04914350e-001, +3.92339501e-001
4972475.00, -9.04704568e-001, +3.92591422e-001
4972512.50, -9.04721148e-001, +3.92806979e-001
4972550.00, -9.04663942e-001, +3.92953227e-001
4972587.50, -9.04436180e-001, +3.93076322e-001
4972625.00, -9.04412508e-001, +3.93255702e-001
4972662.50, -9.04223892e-001, +3.93431082e-001
4972700.00, -9.04077962e-001, +3.93963124e-001
4972737.50, -9.04104488e-001, +3.93965107e-001
4972775.00, -9.03919000e-001, +3.93985019e-001
4972812.50, -9.03720814e-001, +3.94289923e-001
4972850.00, -9.03557245e-001, +3.94553628e-001
4972887.50, -9.03552645e-001, +3.94589276e-001
4972925.00, -9.03330474e-001, +3.95028707e-001
4972962.50, -9.03103053e-001, +3.95235980e-001
4973000.00, -9.03205010e-001, +3.95355044e-001
4973037.50, -9.02950487e-001, +3.95619545e-001
4973075.00, -9.02720511e-001, +3.95867942e-001
4973112.50, -9.02636023e-001, +3.96127007e-001
4973150.00, -9.02505681e-001, +3.96289304e-001
4973187.50, -9.02410686e-001, +3.96412918e-001
4973225.00, -9.02195604e-001, +3.96737939e-001
4973262.50, -9.01762912e-001, +3.96978375e-001
4973300.00, -9.01814336e-001, +3.97319502e-001
4973337.50, -9.01471403e-001, +3.97369910e-001
4973375.00, -9.01285852e-001, +3.97664146e-001
4973412.50, -9.01293070e-001, +3.97919244e-001
4973450.00, -9.01035884e-001, +3.98254495e-001
4973487.50, -9.00793493e-001, +3.98464347e-001
4973525.00, -9.00719732e-001, +3.98756230e-001
4973562.50, -9.00342021e-001, +3.99160966e-001
4973600.00, -9.00327828e-001, +3.99268068e-001
4973637.50, -9.00004938e-001, +3.99661111e-001
4973675.00, -8.99733364e-001, +3.99986179e-001
4973712.50, -8.99556663e-001, +4.00169255e-001
4973750.00, -8.99456754e-001, +4.00483193e-001
4973787.50, -8.99052540e-001, +4.00778438e-001
4973825.00, -8.99077642e-001, +4.00966463e-001
4973862.50, -8.98797275e-001, +4.01413447e-001
4973900.00, -8.98490197e-001, +4.01858790e-001
4973937.50, -8.98107913e-001, +4.02060016e-001
4973975.00, -8.97931031e-001, +4.02297944e-001
4974012.50, -8.97663489e-001, +4.02708946e-001
4974050.00, -8.97554259e-001, +4.03044703e-001
4974087.50, -8.97290171e-001, +4.03426184e-001
4974125.00, -8.96965006e-001, +4.03688216e-001
4974162.50, -8.96545453e-001, +4.03995209e-001
4974200.00, -8.96315591e-001, +4.04466241e-001
4974237.50, -8.96042128e-001, +4.04883933e-001
4974275.00, -8.95639634e-001, +4.05106969e-001
4974312.50, -8.95522810e-001, +4.05484961e-001
4974350.00, -8.94930841e-001, +4.06033160e-001
4974387.50, -8.94668757e-001, +4.06295353e-001
4974425.00, -8.94373909e-001, +4.06863707e-001
4974462.50, -8.94186302e-001, +4.07236498e-001
4974500.00, -8.93722125e-001, +4.07529287e-001
4974537.50, -8.93342723e-001, +4.07936800e-001
4974575.00, -8.92886288e-001, +4.08422283e-001
4974612.50, -8.92608434e-001, +4.08894090e-001
4974650.00, -8.92298407e-001, +4.09432425e-001
4974687.50, -8.91768231e-001, +4.09868207e-001
4974725.00, -8.91390354e-001, +4.10247194e-001
4974762.50, -8.90967669e-001, +4.10730456e-001
4974800.00, -8.90356018e-001, +4.11354644e-001
4974837.50, -8.90017072e-001, +4.11727060e-001
4974875.00, -8.89544564e-001, +4.12219512e-001
4974912.50, -8.89176674e-001, +4.12665968e-001
4974950.00, -8.88527641e-001, +4.13398775e-001
4974987.50, -8.88189437e-001, +4.14072579e-001
4975025.00, -8.87468401e-001, +4.14647088e-001
